Timestamp;Station;Linie;Einsteiger;Aussteiger;Avg
2017-01-01;HS;S1;744133;793635;768884
2017-01-01;HS;S11;72241;71606;71924
2017-01-01;HS;S2;29328;26439;27884
2017-01-01;HS;S21;303901;341725;322813
2017-01-01;HS;S3;282408;291202;286805
2017-01-01;HS;S31;585412;612704;599058
2017-01-01;HSB;S1;538138;559892;549015
2017-01-01;HSB;S11;54016;60227;57122
2017-01-01;HST;S11;66638;56875;61757
2017-01-01;HST;S21;228537;265862;247200
2017-01-01;HST;S31;522218;489973;506096
2017-01-01;IS;S1;289826;295902;292864
2017-01-01;JUS;S1;619727;638852;629290
2017-01-01;JUS;S2;24337;22198;23268
2017-01-01;JUS;S3;313608;334644;324126
2017-01-01;KRS;S3;125790;142146;133968
2017-01-01;KS;S1;494110;564670;529390
2017-01-01;KS;S2;19958;11316;15637
2017-01-01;KS;S3;240114;255407;247761
2017-01-01;KWS;S1;221463;227764;224614
2017-01-01;KWS;S11;22655;27992;25324
2017-01-01;LAN;S1;547317;565713;556515
2017-01-01;LAN;S11;56629;58782;57706
2017-01-01;LAS;S1;523161;538902;531032
2017-01-01;LAS;S2;17511;18310;17911
2017-01-01;LAS;S3;254758;258776;256767
2017-01-01;LST;S21;186924;154467;170696
2017-01-01;LST;S3;175559;213743;194651
2017-01-01;ML;S2;14724;15011;14868
2017-01-01;ML;S21;163454;174161;168808
2017-01-01;NL;S3;32801;26593;29697
2017-01-01;NRS;S3;203127;206513;204820
2017-01-01;NRS;S31;68337;87962;78150
2017-01-01;NTB;S2;22070;22323;22197
2017-01-01;NTB;S21;252326;240367;246347
2017-01-01;NWF;S3;113034;115338;114186
2017-01-01;NWS;S3;241996;255815;248906
2017-01-01;NWS;S31;115354;90138;102746
2017-01-01;OH;S1;556878;555598;556238
2017-01-01;OH;S11;49920;46280;48100
2017-01-01;OPS;S1;607085;609238;608162
2017-01-01;OPS;S11;55151;61612;58382
2017-01-01;PB;S1;185269;191290;188280
2017-01-01;PB;S11;28060;23723;25892
2017-01-01;PS;S3;106261;114848;110555
2017-01-01;RBK;S21;122524;114886;118705
2017-01-01;RES;S1;577044;546707;561876
2017-01-01;RES;S2;21694;13757;17726
